Question,Solution,,,,,,,,
"Q23. A three-wheeler starts from rest, accelerates uniformly with 1 m s–2 on a straight road for 10 s, and then moves with uniform velocity. Plot the distance covered by the vehicle during the nth second (n = 1,2,3….) versus n. What do you expect this plot to be during accelerated motion: a straight line or a parabola? 
","For a straight line, the distance covered by a body in nth second is:
SN = u + a (2n – 1)/2 
Where,
a = Acceleration
u = Initial velocity
n = Time = 1, 2, 3, . . . . . , n
In the above  case,
a = 1 m/s^2 and u = 0.
∴ SN = (2n – 1) / 2
This relation shows that:
SN ∝ n
This plot is expected to be a straight line.",,,,,,,,
"Q24. A boy, standing on a stationary lift (open from above), throws a ball upwards with the maximum initial speed he can, equal to 49 m s^-1. How much time does the ball take to return to his hands? If the lift starts moving up with a uniform speed of 5 m s^-1 and the boy again throws the ball up with the maximum speed he can, how long does the ball take to return to his hands?
","The initial velocity of the ball, u = 49 m/s
Case: I
The boy throws the ball upwards when the lift is stationary. The vertically upward direction is taken as the positive direction. The displacement of the ball is zero.
Considering the equation of motion
s=ut + (1/2)at2
0 = (49)t + (1/2) (-9.8)t^2
t = (49 x 2)/9.8 = 98/9.8 = 10 sec
Case: II
As the lift starts moving with a speed of 5 m/s, the initial speed of the ball will be 49 m/s + 5 m/s = 54 m/s
The displacement of the ball will be s =  5t’
Therefore, the time taken can be calculated using the formula
s = ut + (1/2) at^2
5t’ = (54) t’ + (1/2)(-9.8) (t')^2
t’ = 2(54 – 5)/9.8 = 10 sec
The time taken will remain the same in both cases.",,,,,,,,
"Q1: State whether the following physical quantities are scalar or vector.                     
(i) Mass 
(ii) Volume 
(iii) Speed
(iv) Acceleration
(v) Density
(vi) Number of moles
(vii) Velocity
(viii) Angular frequency
(ix) Displacement
(x) Angular velocity","Scalar: Density, mass, speed, volume, angular frequency, number of moles.
Vector: Velocity, acceleration, angular velocity, displacement.
A scalar quantity depends only on the magnitude, and it is independent of the direction. Density, mass, speed, volume, angular frequency and number of moles are scalar quantities.
A vector quantity depends on the magnitude as well as the direction. Velocity, acceleration, angular velocity, and displacement comes under this.",,,,,,,,
"Q2: From the following, pick any two scalar quantities:
Force, angular momentum, work, current, linear momentum, electric field, average velocity, magnetic moment, relative velocity.","The dot product of force and displacement is the work done. Work is a scalar quantity since the dot product of two quantities is always scalar.
Current is a scalar quantity as it is described only by its magnitude, and it is independent of direction.",,,,,,,,
"Q3: From the following, identify the vector quantities:
Pressure, temperature, energy, time, gravitational potential, power, total path length, charge, coefficient of friction, impulse.","Impulse is the product of force and time. Since force is a vector quantity, its product with time which is a scalar quantity, gives a vector quantity.",,,,,,,,
"Q4: State with reasons whether the following algebraic operations with scalar and vector physical quantities are meaningful :(a) Addition of any two scalars
(b) Adding a scalar to a vector which has the same dimensions 
(c) Multiplying a vector by any scalar
(d) Multiplying any two scalars
(e) Adding any two vectors
(f) Addition of a vector component to the same vector","(a) Meaningful:
The addition of two scalar quantities is meaningful only if they both represent the same physical quantity.
(b) Not Meaningful:
The addition of a vector quantity with a scalar quantity is not meaningful
(c) Meaningful:
A scalar can be multiplied with a vector. For example, force is multiplied by time to give an impulse.
(d) Meaningful:
A scalar, irrespective of the physical quantity it represents, can be multiplied by another scalar having the same or different dimensions.
(e) Meaningful:
The addition of two vector quantities is meaningful only if they both represent the same physical quantity.
(f) Meaningful:
A component of a vector can be added to the same vector as they both have the same dimensions.",,,,,,,,
"Q5: Read each statement below carefully and state with reasons if it is true or false:
(a) The magnitude of a vector is always a scalar 
(b) Each component of a vector is always a scalar 
(c) The total path length is always equal to the magnitude of the displacement vector of a particle
(d) The average speed of a particle (defined as total path length divided by the time taken to cover the path) is either greater or equal to the magnitude of the average velocity of the particle over the same interval of time
(e) Three vectors not lying in a plane can never add up to give a null vector","(a) True:
The magnitude of a vector is a number. So, it is a scalar.
(b) False:
Each component of a vector is also a vector.
(c) False:
The total path length is a scalar quantity, whereas displacement is a vector quantity. Hence, the total path length is always greater than the magnitude of displacement. It becomes equal to the magnitude of displacement only when a particle is moving in a straight line.
(d) True:
It is because of the fact that the total path length is always greater than or equal to the magnitude of displacement of a particle.
(e) True:
Three vectors, which do not lie in a plane, cannot be represented by the sides of a triangle taken in the same order.",,,,,,,,
"Q7: Given that l + m + n + o = 0, which of the given statements are true:
(a) l, m, n and o each must be a null vector.
(b) The magnitude of (l + n) equals the magnitude of (m+ o).
(c) The magnitude of l can never be greater than the sum of the magnitudes of m, n and o.
(d) m + n must lie in the plane of l and o if l and o are not collinear, and in the line of l and o, if they are collinear?","(a) False
In order to make l + m + n + o = 0, it is not necessary to have all the four given vectors to be null vectors. There are other combinations which can give the sum zero.
(b) True
l + m + n + o = 0
l + n = – (m + o)
Taking mode on both the sides,
Therefore, the magnitude of (l + n) is the same as the magnitude of (m + o).
(c) True
l + m + n + o = 0
l = (m + n + o)
Taking mode on both the sides,
Equation (i) shows the magnitude of l is equal to or less than the sum of the magnitudes of m, n and o.
(d) True
For,
l + m + n + o = 0
The resultant sum of the three vectors l, (m + n), and o can be zero only if (m + n) lie in a plane containing l and o, assuming that these three vectors are represented by the three sides of a triangle.
If l and o are collinear, then it implies that the vector (m + n) is in the line of l and o. This implication holds only then the vector sum of all the vectors will be zero. ",,,,,,,,
"Q11: A passenger arriving in a new town wants to go from the station to a hotel located 10 km away on a straight road from the station. A dishonest cabman takes him along a circuitous path 23 km long and reaches the hotel in 28 min.
(a) What is the average speed of the taxi?
(b) What is the magnitude of average velocity? Are the two equal?","(a) Total distance travelled = 23 km
Total time taken = 28 min = \(\begin{array}{l}\frac{28}{60}\end{array} \) h
Therefore,
Average speed = \(\begin{array}{l}\frac{Total \; distance \; travelled}{Total \; time \; taken }\end{array} \)

= \(\begin{array}{l}\frac{23}{\frac{28}{60}}\end{array} \) = 49.29 km/h
(b) Distance between the hotel and the station = 10 km = Displacement of the car
Therefore,
Average velocity = \(\begin{array}{l}\frac{10}{\frac{28}{60}}\end{array} \) = 21.43 km/h
The two physical quantities are not equal.",,,,,,,,
"Q13: A man can swim with a speed of 4 km/h in still water. How long does he take to cross a river 1 km wide if the river flows steadily at 3 km/h and he makes his strokes normal to the river current? How far down the river does he go when he reaches the other bank?
","Speed of the man \(\begin{array}{l}v_{m}\end{array} \) = 4 km/h
Width of the river = 1 km
Time taken to cross the river = \(\begin{array}{l}\frac{Width \; of \; the \; river }{Speed \; of \; the \; river}\end{array} \)

= \(\begin{array}{l}\frac{1}{4}\end{array} \) h
= \(\begin{array}{l}\frac{1}{4} \times 60\end{array} \) = 15 min
Speed of the river, \(\begin{array}{l}v_{r}\end{array} \) = 3 \(\begin{array}{l}\frac{km}{h}\end{array} \)

Distance covered with flow of the river = \(\begin{array}{l}v_{r} \times t\end{array} \)
= \(\begin{array}{l}3 \times \frac{1}{4}\end{array} \)
= \(\begin{array}{l}\frac{3}{4}\end{array} \)
= \(\begin{array}{l}\frac{3}{4} \times 1000\end{array} \) = 750 m",,,,,,,,
"Q14: In a harbour, the wind is blowing at the speed of 72 km/h and the flag on the mast of a boat anchored in the harbour flutters along the N-E direction. If the boat starts moving at a speed of 51 km/h to the north, what is the direction of the flag on the mast of the boat? 
","Velocity of the boat = \(\begin{array}{l}v_{b}\end{array} \) = 51 km/h
Velocity of the wind = \(\begin{array}{l}v_{w}\end{array} \) = 72 km/h
The flag is fluttering in the northeast direction. It shows that the wind is blowing towards the northeast direction. When the ship begins sailing toward the north, the flag will move along the direction of the relative velocity (\(\begin{array}{l}v_{wb}\end{array} \)) of the wind with respect to the boat.

The angle between \(\begin{array}{l}v_{w}\end{array} \) and \(\begin{array}{l}\left (-v_{b} \right )\end{array} \) = \(\begin{array}{l}90^{\circ} + 45^{\circ}\end{array} \)
\(\begin{array}{l}\tan \beta = \frac{51 \sin \left ( 90 + 45 \right )}{72 + 51\cos \left ( 90 + 45 \right )}\end{array} \)
= \(\begin{array}{l}\frac{51 \sin 45}{72 + 51\left ( -\cos 45 \right )}\end{array} \)
= \(\begin{array}{l}\frac{51 \times \frac{1}{\sqrt{2}} }{72 – 51 \times \frac{1}{\sqrt{2}}}\end{array} \)
= \(\begin{array}{l}\frac{51}{72\sqrt{2} – 51}\end{array} \)
= \(\begin{array}{l}\frac{51}{72 \times 1.414 – 51}\end{array} \)
= \(\begin{array}{l}\frac{51}{50.800}\end{array} \)
= \(\begin{array}{l}\tan ^{-1}\left ( 1.0038 \right )\end{array} \) = 45.11°
Angle with respect to the east direction = 45.11° – 45° = 0.11°
Hence, the flag will flutter almost due east.",,,,,,,,
"Q16: A cricketer can throw a ball to a maximum horizontal distance of 100 m. How high above the ground can the cricketer throw the same ball?
","The maximum horizontal distance, R = 100 m
The cricketer will only be able to throw the ball to the maximum horizontal distance when the angle of projection is 45°, i.e., \(\begin{array}{l}\theta\end{array} \) = 33.60°
The horizontal range for a projection velocity v is given as
R = \(\begin{array}{l}\frac{u^{2}\sin 2\theta}{g}\end{array} \)
\(\begin{array}{l}100 = \frac{u^{2}}{g}\sin 90^{\circ}\end{array} \)
\(\begin{array}{l}\frac{u^{2}}{g} = 100\end{array} \) —— (i)
The ball will achieve the max height when it is thrown vertically upward. For such motion, the final velocity v is 0 at the max height H.
Acceleration, a = – g
Using the 3rd equation of motion
= \(\begin{array}{l}H = \frac{1}{2} \times 100\end{array} \) = 50 m",,,,,,,,
"Q17: A stone tied to the end of a string 80 cm long is whirled in a horizontal circle with a constant speed. If the stone makes 14 revolutions in 25 s, what is the direction and magnitude of the acceleration of the stone?
","Length of the string, l = 80 cm = 0.8 m
No. of revolutions = 14
Time taken = 25 s
Frequency, v = \(\begin{array}{l}\frac{No. \; of \; revolution}{Time \; taken}\end{array} \) = \(\begin{array}{l}\frac{14}{25}\end{array} \) Hz
Angular frequency \(\begin{array}{l}\omega\end{array} \),
= \(\begin{array}{l}2\pi v\end{array} \)
= \(\begin{array}{l}2 \times \frac{22}{7} \times \frac{14}{25}\end{array} \)
= \(\begin{array}{l}\frac{88}{25} \; rad \; s^{-1}\end{array} \)
Centripetal acceleration:
The direction of centripetal acceleration is always directed along the string, toward the centre, at all points.",,,,,,,,
Q18: An aircraft executes a horizontal loop of radius 1 km with a steady speed of 900 km h-1.Compare its centripetal acceleration with the acceleration due to gravity.,"Radius of the loop, r = 1 km = 1000 m
Speed, v = 900 km h^-1 = \(\begin{array}{l}900 \times \frac{5}{18}\end{array} \) = 250 ms^-1
Centripetal acceleration: \(\begin{array}{l}a_{c} = \frac{v^{2}}{r}\end{array} \)
= \(\begin{array}{l}\frac{\left (250 \right )^{2}}{1000}\end{array} \) = 62.5 ms^-2
Acceleration due to gravity, g = 9.8 ms^-2",,,,,,,,
